         186621 function calls (186545 primitive calls) in 0.258 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.002    0.001 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/preprocessing/_label.py:97(fit_transform)
       16    0.000    0.000    0.002    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/externals/array_api_compat/_internal.py:32(wrapped_f)
        1    0.001    0.001    0.002    0.002 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/src/kmeans.py:39(get_heatmap_centroids)
     1578    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        4    0.001    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/validation.py:1488(check_random_state)
        3    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/_encode.py:20(_unique)
        3    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/_encode.py:61(_unique_np)
        3    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/externals/array_api_compat/common/_aliases.py:238(unique_inverse)
       75    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/einsumfunc.py:1057(einsum)
        9    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/lib/_arraysetops_impl.py:145(unique)
       62    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
       75    0.001    0.000    0.001    0.000 {built-in method numpy._core._multiarray_umath.c_einsum}
       10    0.000    0.000    0.001    0.000 /home/mlesdani/.local/share/uv/python/cpython-3.13.0-linux-x86_64-gnu/lib/python3.13/inspect.py:3338(signature)
