frame,track_id,cx,cy
73,1,1217.0294799804688,482.1777801513672
75,1,1170.981201171875,510.3396301269531
76,1,1147.2874145507812,521.0772552490234
77,1,1080.98291015625,541.5626525878906
78,1,1063.5404663085938,546.01953125
79,1,1020.3379516601562,555.3117065429688
80,1,863.6459045410156,538.4394226074219
81,1,832.8820190429688,523.6499633789062
82,1,811.4244079589844,518.0674438476562
83,1,802.8467712402344,512.4567260742188
84,1,735.537353515625,511.59429931640625
85,1,733.1212463378906,514.9578552246094
86,1,727.8273315429688,545.975341796875
87,1,727.1796264648438,569.537841796875
88,1,736.6163940429688,608.9341430664062
89,1,746.2880859375,639.0398864746094
90,1,751.2392578125,650.3348693847656
91,1,756.7252502441406,662.3051452636719
92,1,772.1044921875,682.588623046875
93,1,788.07177734375,692.41064453125
94,1,798.05908203125,693.30322265625
95,1,808.6192932128906,691.3143615722656
96,1,856.6175842285156,656.1732788085938
97,1,895.4776306152344,593.976806640625
98,1,899.33203125,576.8727722167969
99,1,904.919677734375,569.3263244628906
100,1,905.2154846191406,528.6184692382812
102,1,807.6014709472656,509.4273986816406
103,1,743.0376281738281,523.3671569824219
131,1,600.8645935058594,241.8356170654297
132,1,672.6635131835938,255.2301788330078
133,1,696.9304809570312,257.4346466064453
134,1,718.6390075683594,263.6696243286133
135,1,781.9955139160156,286.417236328125
136,1,947.5716247558594,344.3323516845703
137,1,1096.928466796875,400.4318389892578
138,1,1117.64208984375,410.58935546875
158,1,1089.47119140625,516.4954986572266
159,1,1075.5943603515625,514.4005737304688
160,1,1026.1063842773438,494.3888702392578
161,1,1009.50439453125,481.1671600341797
162,1,1000.5980224609375,455.1284942626953
163,1,995.2413940429688,431.1370391845703
164,1,993.0152893066406,409.1557159423828
165,1,991.2997131347656,389.7696533203125
166,1,991.6048889160156,382.7320098876953
167,1,986.0364685058594,360.740478515625
168,1,992.1485900878906,347.23876953125
169,1,993.5040588378906,344.55078125
170,1,995.21826171875,343.2301025390625
171,1,994.1962890625,342.9303741455078
172,1,995.8663024902344,340.8084716796875
173,1,1000.7200317382812,336.1737060546875
174,1,1014.5303344726562,319.9763946533203
175,1,1016.9077758789062,320.9853515625
176,1,999.521484375,335.0793762207031
177,1,995.1190795898438,342.89381408691406
178,1,980.2618103027344,361.113037109375
179,1,880.6976013183594,434.1476135253906
180,1,816.4383850097656,469.1594543457031
197,1,33.5852165222168,462.4736328125
198,1,96.70317077636719,476.8987579345703
199,1,251.0120849609375,493.4099426269531
200,1,317.4531555175781,490.92041015625
201,1,374.70970153808594,481.4871063232422
203,1,844.4925842285156,421.4473114013672
205,1,998.7328491210938,430.1794128417969
206,1,1048.7740478515625,437.5547637939453
207,1,1081.73876953125,441.3569641113281
208,1,1156.7550659179688,453.3419189453125
209,1,1170.1488037109375,459.6244354248047
210,1,1192.805419921875,461.768798828125
211,1,1257.653564453125,488.2039031982422
220,1,1200.14404296875,554.8434753417969
221,1,951.0936584472656,466.87548828125
222,1,815.6831970214844,441.8478546142578
223,1,762.6932678222656,446.2842559814453
224,1,727.7164611816406,466.6246643066406
225,1,746.769775390625,472.1162109375
226,1,759.6661071777344,476.3344421386719
227,1,813.7853088378906,484.0335388183594
228,1,855.1310424804688,487.6592254638672
229,1,929.1666564941406,491.899658203125
230,1,1054.29443359375,501.3352355957031
231,1,1069.1237182617188,502.2869567871094
232,1,1105.7532958984375,503.27886962890625
233,1,1130.7041625976562,500.8860168457031
